step,hp_metric,lr-AdamW,val_mse,val_mono,val_convex,val_excurv,val_loss,epoch,train_mse,train_mono,train_convex,train_excurv,train_loss,test_loss,test/stats/mae_mean,test/stats/mae_std,test/stats/mae_median,test/stats/rmse_mean,test/stats/rmse_std,test/stats/rmse_median,test/stats/r2_mean,test/stats/r2_std,test/stats/r2_median,test/stats/isc_error_abs_mean,test/stats/isc_error_abs_median,test/stats/voc_error_abs_mean,test/stats/voc_error_abs_median,test/stats/voc_prediction_rate
5549,,0.005544857122004032,,,,,,,,,,,,,,,,,,,,,,,,,,
5574,,0.005545351654291153,,,,,,,,,,,,,,,,,,,,,,,,,,
5585,,,0.019391939043998718,8.19030810816912e-06,0.06549949944019318,0.0015511494129896164,0.01934714801609516,6.0,0.02283812314271927,8.978483674582094e-05,0.07056530565023422,0.002302262932062149,0.02275765873491764,,,,,,,,,,,,,,,
5599,,0.0055454024113714695,,,,,,,,,,,,,,,,,,,,,,,,,,
5624,,0.005545399151742458,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,,0.005545392632484436,,,,,,,,,,,,,,,,,,,,,,,,,,
5674,,0.005545382853597403,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,,0.005545370280742645,,,,,,,,,,,,,,,,,,,,,,,,,,
5724,,0.005545354913920164,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,,0.0055453358218073845,,,,,,,,,,,,,,,,,,,,,,,,,,
5774,,0.005545313935726881,,,,,,,,,,,,,,,,,,,,,,,,,,
5799,,0.005545288790017366,,,,,,,,,,,,,,,,,,,,,,,,,,
5824,,0.005545260850340128,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,,0.005545229651033878,,,,,,,,,,,,,,,,,,,,,,,,,,
5874,,0.0055451951920986176,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,,0.005545157939195633,,,,,,,,,,,,,,,,,,,,,,,,,,
5924,,0.005545117426663637,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,,0.00554507365450263,,,,,,,,,,,,,,,,,,,,,,,,,,
5974,,0.0055450270883738995,,,,,,,,,,,,,,,,,,,,,,,,,,
5999,,0.0055449772626161575,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,,0.0055449241772294044,,,,,,,,,,,,,,,,,,,,,,,,,,
6049,,0.00554486783221364,,,,,,,,,,,,,,,,,,,,,,,,,,
6074,,0.005544808693230152,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,,0.00554474676027894,,,,,,,,,,,,,,,,,,,,,,,,,,
6124,,0.00554468110203743,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,,0.005544612649828196,,,,,,,,,,,,,,,,,,,,,,,,,,
6174,,0.0055445414036512375,,,,,,,,,,,,,,,,,,,,,,,,,,
6199,,0.005544466432183981,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,,0.0055443886667490005,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,,0.005544307641685009,,,,,,,,,,,,,,,,,,,,,,,,,,
6274,,0.005544223822653294,,,,,,,,,,,,,,,,,,,,,,,,,,
6299,,0.005544136743992567,,,,,,,,,,,,,,,,,,,,,,,,,,
6324,,0.005544046405702829,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,,0.005543953273445368,,,,,,,,,,,,,,,,,,,,,,,,,,
6374,,0.005543856881558895,,,,,,,,,,,,,,,,,,,,,,,,,,
6383,,,0.019763020798563957,6.365221634041518e-05,0.07933627814054489,0.00326600787229836,0.019797420129179955,7.0,0.021543163806200027,7.151388126658276e-05,0.07021500170230865,0.0023615446407347918,0.021487345919013023,,,,,,,,,,,,,,,
6399,,0.005543757230043411,,,,,,,,,,,,,,,,,,,,,,,,,,
6424,,0.0055436547845602036,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,,0.005543549079447985,,,,,,,,,,,,,,,,,,,,,,,,,,
6474,,0.005543440114706755,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,,0.005543328355997801,,,,,,,,,,,,,,,,,,,,,,,,,,
6524,,0.005543213337659836,,,,,,,,,,,,,,,,,,,,,,,,,,
6549,,0.00554309505969286,,,,,,,,,,,,,,,,,,,,,,,,,,
6574,,0.00554297398775816,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,,0.0055428496561944485,,,,,,,,,,,,,,,,,,,,,,,,,,
6624,,0.005542722065001726,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,,0.00554259167984128,,,,,,,,,,,,,,,,,,,,,,,,,,
6674,,0.005542458035051823,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,,0.005542321130633354,,,,,,,,,,,,,,,,,,,,,,,,,,
6724,,0.005542181432247162,,,,,,,,,,,,,,,,,,,,,,,,,,
6749,,0.005542038474231958,,,,,,,,,,,,,,,,,,,,,,,,,,
6774,,0.005541892256587744,,,,,,,,,,,,,,,,,,,,,,,,,,
6799,,0.005541743244975805,,,,,,,,,,,,,,,,,,,,,,,,,,
6824,,0.005541590973734856,,,,,,,,,,,,,,,,,,,,,,,,,,
6849,,0.005541435442864895,,,,,,,,,,,,,,,,,,,,,,,,,,
6874,,0.00554127711802721,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,,0.0055411155335605145,,,,,,,,,,,,,,,,,,,,,,,,,,
6924,,0.005540951155126095,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,,0.005540783051401377,,,,,,,,,,,,,,,,,,,,,,,,,,
6974,,0.005540612619370222,,,,,,,,,,,,,,,,,,,,,,,,,,
6999,,0.005540438462048769,,,,,,,,,,,,,,,,,,,,,,,,,,
7024,,0.005540261510759592,,,,,,,,,,,,,,,,,,,,,,,,,,
7049,,0.005540081299841404,,,,,,,,,,,,,,,,,,,,,,,,,,
7074,,0.005539898294955492,,,,,,,,,,,,,,,,,,,,,,,,,,
7099,,0.005539711564779282,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,,0.005539522506296635,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,,0.005539329722523689,,,,,,,,,,,,,,,,,,,,,,,,,,
7174,,0.00553913414478302,,,,,,,,,,,,,,,,,,,,,,,,,,
7181,,,0.018255410715937614,7.603523044963367e-06,0.06505225598812103,0.001876044669188559,0.018234360963106155,8.0,0.020746616646647453,6.98451476637274e-05,0.07002123445272446,0.002408768981695175,0.02070622146129608,,,,,,,,,,,,,,,
7199,,0.00553893530741334,,,,,,,,,,,,,,,,,,,,,,,,,,
7224,,0.005538733676075935,,,,,,,,,,,,,,,,,,,,,,,,,,
7249,,0.00553852878510952,,,,,,,,,,,,,,,,,,,,,,,,,,
